subject,condition,block,error_type,error
0,no_label,1,label,0.595541425738
0,no_label,1,salient,2.37975127219
0,no_label,1,non_salient,2.37952632147
0,no_label,50,label,0.120025455825
0,no_label,50,salient,0.975820363672
0,no_label,50,non_salient,1.75185703069
0,no_label,100,label,0.0379997371313
0,no_label,100,salient,0.858936863026
0,no_label,100,non_salient,1.72881353577
0,no_label,150,label,0.035184668915
0,no_label,150,salient,0.848986174183
0,no_label,150,non_salient,1.74260831744
0,no_label,200,label,0.0427577048013
0,no_label,200,salient,0.837634824301
0,no_label,200,non_salient,1.768034658
0,no_label,250,label,0.0522637261807
0,no_label,250,salient,0.823194669149
0,no_label,250,non_salient,1.77017120755
0,no_label,300,label,0.0595994558383
0,no_label,300,salient,0.802051700792
0,no_label,300,non_salient,1.75254320028
0,no_label,350,label,0.064285643187
0,no_label,350,salient,0.773961363577
0,no_label,350,non_salient,1.72998840376
0,no_label,400,label,0.0655649028112
0,no_label,400,salient,0.742740403508
0,no_label,400,non_salient,1.71064664988
0,no_label,450,label,0.0634270652454
0,no_label,450,salient,0.711766369779
0,no_label,450,non_salient,1.69924361294
0,no_label,500,label,0.0584455521649
0,no_label,500,salient,0.682952550664
0,no_label,500,non_salient,1.69980815458
0,no_label,550,label,0.0519995642309
0,no_label,550,salient,0.661293723834
0,no_label,550,non_salient,1.71499957131
0,no_label,600,label,0.0477761118105
0,no_label,600,salient,0.647481452967
0,no_label,600,non_salient,1.73698738474
0,no_label,650,label,0.0474217406056
0,no_label,650,salient,0.632032220634
0,no_label,650,non_salient,1.73872445278
0,no_label,700,label,0.0476323030323
0,no_label,700,salient,0.611209958075
0,no_label,700,non_salient,1.70741000944
0,no_label,750,label,0.0458158509655
0,no_label,750,salient,0.59011104664
0,no_label,750,non_salient,1.6612499443
0,no_label,800,label,0.0419284761905
0,no_label,800,salient,0.582027685442
0,no_label,800,non_salient,1.63652448167
0,no_label,850,label,0.0391482442341
0,no_label,850,salient,0.593786321931
0,no_label,850,non_salient,1.64434256291
0,no_label,900,label,0.0397540993925
0,no_label,900,salient,0.610902794807
0,no_label,900,non_salient,1.65734132515
0,no_label,950,label,0.0400882373026
0,no_label,950,salient,0.619672328945
0,no_label,950,non_salient,1.65859399318
0,no_label,1000,label,0.0390621682851
0,no_label,1000,salient,0.622395378432
0,no_label,1000,non_salient,1.65150017882
0,no_label,1050,label,0.0373849835748
0,no_label,1050,salient,0.621291561234
0,no_label,1050,non_salient,1.63978862976
0,no_label,1100,label,0.0352784307392
0,no_label,1100,salient,0.616346092295
0,no_label,1100,non_salient,1.62590701056
0,no_label,1150,label,0.0327789551931
0,no_label,1150,salient,0.607425954706
0,no_label,1150,non_salient,1.61159428662
0,no_label,1200,label,0.0301299764434
0,no_label,1200,salient,0.595239986194
0,no_label,1200,non_salient,1.59728813727
0,no_label,1250,label,0.0277076897448
0,no_label,1250,salient,0.581993604071
0,no_label,1250,non_salient,1.58612647519
0,no_label,1300,label,0.0257047597836
0,no_label,1300,salient,0.570291972957
0,no_label,1300,non_salient,1.58883689633
0,no_label,1350,label,0.0242176603761
0,no_label,1350,salient,0.568818092099
0,no_label,1350,non_salient,1.61067222491
0,no_label,1400,label,0.023082751633
0,no_label,1400,salient,0.576640719137
0,no_label,1400,non_salient,1.6356292961
0,no_label,1450,label,0.0219407267912
0,no_label,1450,salient,0.57976430198
0,no_label,1450,non_salient,1.63262766431
0,no_label,1500,label,0.0204056216213
0,no_label,1500,salient,0.569981154097
0,no_label,1500,non_salient,1.58595060683
0,no_label,1550,label,0.0193589188426
0,no_label,1550,salient,0.539336048439
0,no_label,1550,non_salient,1.51865752582
0,no_label,1600,label,0.0193556433414
0,no_label,1600,salient,0.51265340897
0,no_label,1600,non_salient,1.47585759877
0,no_label,1650,label,0.0196857351643
0,no_label,1650,salient,0.519949411927
0,no_label,1650,non_salient,1.50600685096
0,no_label,1700,label,0.0197017069676
0,no_label,1700,salient,0.558711485287
0,no_label,1700,non_salient,1.5499984892
0,no_label,1750,label,0.0187761610671
0,no_label,1750,salient,0.595704454819
0,no_label,1750,non_salient,1.54038476704
0,no_label,1800,label,0.0202161605595
0,no_label,1800,salient,0.623970953353
0,no_label,1800,non_salient,1.52501292663
0,no_label,1850,label,0.020292560999
0,no_label,1850,salient,0.637298860728
0,no_label,1850,non_salient,1.51229712705
0,no_label,1900,label,0.0173102922681
0,no_label,1900,salient,0.632080849183
0,no_label,1900,non_salient,1.52707182603
0,no_label,1950,label,0.0154744284361
0,no_label,1950,salient,0.616981303821
