subject,condition,block,error_type,error
0,no_label,1,label,0.38642356416
0,no_label,1,salient,2.50759052613
0,no_label,1,non_salient,2.50381688582
0,no_label,50,label,0.155316795926
0,no_label,50,salient,1.13210647432
0,no_label,50,non_salient,1.61454253314
0,no_label,100,label,0.0625558063885
0,no_label,100,salient,0.949080882428
0,no_label,100,non_salient,1.40475634154
0,no_label,150,label,0.0600687320187
0,no_label,150,salient,0.926305912751
0,no_label,150,non_salient,1.11451062114
0,no_label,200,label,0.0576313189424
0,no_label,200,salient,0.899717910342
0,no_label,200,non_salient,0.954685602366
0,no_label,250,label,0.0592983346812
0,no_label,250,salient,0.866619496076
0,no_label,250,non_salient,0.904331063791
0,no_label,300,label,0.0659002853124
0,no_label,300,salient,0.822505850238
0,no_label,300,non_salient,0.876109841927
0,no_label,350,label,0.0727391951952
0,no_label,350,salient,0.767772282318
0,no_label,350,non_salient,0.847976437523
0,no_label,400,label,0.0759137372166
0,no_label,400,salient,0.711170200525
0,no_label,400,non_salient,0.819083530271
0,no_label,450,label,0.0744953022765
0,no_label,450,salient,0.662524993621
0,no_label,450,non_salient,0.791941707975
0,no_label,500,label,0.0698693918238
0,no_label,500,salient,0.625279928404
0,no_label,500,non_salient,0.768282215002
0,no_label,550,label,0.0636718858752
0,no_label,550,salient,0.598168113338
0,no_label,550,non_salient,0.748668318726
0,no_label,600,label,0.0569751339596
0,no_label,600,salient,0.578781782671
0,no_label,600,non_salient,0.73294802071
0,no_label,650,label,0.05038508359
0,no_label,650,salient,0.564923624679
0,no_label,650,non_salient,0.720607045824
0,no_label,700,label,0.0442285106499
0,no_label,700,salient,0.554884313924
0,no_label,700,non_salient,0.711010005872
0,no_label,750,label,0.0386687782887
0,no_label,750,salient,0.547444220475
0,no_label,750,non_salient,0.703540463992
0,no_label,800,label,0.0337779304107
0,no_label,800,salient,0.541774130489
0,no_label,800,non_salient,0.697660168876
0,no_label,850,label,0.0295778364968
0,no_label,850,salient,0.53731902487
0,no_label,850,non_salient,0.692925177676
0,no_label,900,label,0.0260603390117
0,no_label,900,salient,0.533706843409
0,no_label,900,non_salient,0.688983932788
0,no_label,950,label,0.023195583842
0,no_label,950,salient,0.530686939254
0,no_label,950,non_salient,0.685567847763
0,no_label,1000,label,0.0209347719279
0,no_label,1000,salient,0.528089848386
0,no_label,1000,non_salient,0.68247812733
0,no_label,1050,label,0.0192127137154
0,no_label,1050,salient,0.525800443996
0,no_label,1050,non_salient,0.679571103894
0,no_label,1100,label,0.017953717364
0,no_label,1100,salient,0.523739675753
0,no_label,1100,non_salient,0.676744238846
0,no_label,1150,label,0.0170797655287
0,no_label,1150,salient,0.521852193158
0,no_label,1150,non_salient,0.673924325251
0,no_label,1200,label,0.0165173555338
0,no_label,1200,salient,0.520098137932
0,no_label,1200,non_salient,0.671058502915
0,no_label,1250,label,0.0162013352097
0,no_label,1250,salient,0.518447858284
0,no_label,1250,non_salient,0.668107961498
0,no_label,1300,label,0.0160764912742
0,no_label,1300,salient,0.516878601396
0,no_label,1300,non_salient,0.665043838373
0,no_label,1350,label,0.0160976733143
0,no_label,1350,salient,0.515372490606
0,no_label,1350,non_salient,0.66184473602
0,no_label,1400,label,0.0162286529307
0,no_label,1400,salient,0.513915303207
0,no_label,1400,non_salient,0.658495349813
0,no_label,1450,label,0.016440154218
0,no_label,1450,salient,0.512495728343
0,no_label,1450,non_salient,0.654985808765
0,no_label,1500,label,0.0167077810421
0,no_label,1500,salient,0.511104902381
0,no_label,1500,non_salient,0.651311437077
0,no_label,1550,label,0.0170104306643
0,no_label,1550,salient,0.509736098341
0,no_label,1550,non_salient,0.647472725963
0,no_label,1600,label,0.0173294303403
0,no_label,1600,salient,0.508384496034
0,no_label,1600,non_salient,0.643475363568
0,no_label,1650,label,0.0176482627948
0,no_label,1650,salient,0.507046989807
0,no_label,1650,non_salient,0.63933021215
0,no_label,1700,label,0.0179525516914
0,no_label,1700,salient,0.505722008796
