subject,condition,block,error_type,error
0,no_label,1,label,0.420287055745
0,no_label,1,salient,2.70249443005
0,no_label,1,non_salient,2.33106397863
0,no_label,50,label,0.139758509395
0,no_label,50,salient,1.28586542458
0,no_label,50,non_salient,1.30428913077
0,no_label,100,label,0.0643685464917
0,no_label,100,salient,0.913015685299
0,no_label,100,non_salient,0.863172534932
0,no_label,150,label,0.0474222025528
0,no_label,150,salient,0.886383399773
0,no_label,150,non_salient,0.82756041646
0,no_label,200,label,0.0542868145439
0,no_label,200,salient,0.863411341399
0,no_label,200,non_salient,0.804874976836
0,no_label,250,label,0.0614613520645
0,no_label,250,salient,0.836957877301
0,no_label,250,non_salient,0.777984546721
0,no_label,300,label,0.0664396154948
0,no_label,300,salient,0.808154953966
0,no_label,300,non_salient,0.748841402112
0,no_label,350,label,0.0686795092074
0,no_label,350,salient,0.779281490641
0,no_label,350,non_salient,0.719886103369
0,no_label,400,label,0.0685432058103
0,no_label,400,salient,0.752201639226
0,no_label,400,non_salient,0.692650423185
0,no_label,450,label,0.0667368886912
0,no_label,450,salient,0.727904075457
0,no_label,450,non_salient,0.667841272248
0,no_label,500,label,0.0639328645846
0,no_label,500,salient,0.706548566184
0,no_label,500,non_salient,0.645782973602
0,no_label,550,label,0.0606627221007
0,no_label,550,salient,0.687789662934
0,no_label,550,non_salient,0.626559094253
0,no_label,600,label,0.0573153581721
0,no_label,600,salient,0.671144353362
0,no_label,600,non_salient,0.609933858014
0,no_label,650,label,0.0541536456977
0,no_label,650,salient,0.656161183973
0,no_label,650,non_salient,0.595392433811
0,no_label,700,label,0.0513173012632
0,no_label,700,salient,0.642439523696
0,no_label,700,non_salient,0.582374016631
0,no_label,750,label,0.0488315408156
0,no_label,750,salient,0.629667263984
0,no_label,750,non_salient,0.570486473994
0,no_label,800,label,0.0466429048835
0,no_label,800,salient,0.617672181264
0,no_label,800,non_salient,0.55953616905
0,no_label,850,label,0.0446565754286
0,no_label,850,salient,0.606416297506
0,no_label,850,non_salient,0.54943326671
0,no_label,900,label,0.0427627209624
0,no_label,900,salient,0.595941477613
0,no_label,900,non_salient,0.540102437672
0,no_label,950,label,0.0408706522892
0,no_label,950,salient,0.586308440775
0,no_label,950,non_salient,0.531451005686
0,no_label,1000,label,0.0389372422127
0,no_label,1000,salient,0.577554535501
0,no_label,1000,non_salient,0.523375606369
0,no_label,1050,label,0.0369656440859
0,no_label,1050,salient,0.569675640705
0,no_label,1050,non_salient,0.515776785106
0,no_label,1100,label,0.0349856021643
0,no_label,1100,salient,0.562627243849
0,no_label,1100,non_salient,0.508568931067
0,no_label,1150,label,0.0330343852036
0,no_label,1150,salient,0.556336688853
0,no_label,1150,non_salient,0.501687504728
0,no_label,1200,label,0.0311448274865
0,no_label,1200,salient,0.550719541981
0,no_label,1200,non_salient,0.495098976461
0,no_label,1250,label,0.0293395567607
0,no_label,1250,salient,0.545695309023
0,no_label,1250,non_salient,0.48881434923
