subject,condition,block,error_type,error
0,no_label,1,label,0.46417126737
0,no_label,1,salient,2.53580033306
0,no_label,1,non_salient,2.48588407144
0,no_label,50,label,0.102117037694
0,no_label,50,salient,1.25591106815
0,no_label,50,non_salient,1.76643039341
0,no_label,100,label,0.0428333172352
0,no_label,100,salient,0.913375945678
0,no_label,100,non_salient,1.72752776121
0,no_label,150,label,0.0512725713227
0,no_label,150,salient,0.885600309386
0,no_label,150,non_salient,1.73391477695
0,no_label,200,label,0.0639413869743
0,no_label,200,salient,0.841539528833
0,no_label,200,non_salient,1.71989578361
0,no_label,250,label,0.0641540982771
0,no_label,250,salient,0.784235485789
0,no_label,250,non_salient,1.6844579871
0,no_label,300,label,0.0643913117537
0,no_label,300,salient,0.730176928136
0,no_label,300,non_salient,1.70422945163
0,no_label,350,label,0.0687455776872
0,no_label,350,salient,0.681972526716
0,no_label,350,non_salient,1.70297000416
0,no_label,400,label,0.0676602418911
0,no_label,400,salient,0.636427001471
0,no_label,400,non_salient,1.66599709355
0,no_label,450,label,0.0652543581508
0,no_label,450,salient,0.597797263739
0,no_label,450,non_salient,1.68108933894
0,no_label,500,label,0.0644305538124
0,no_label,500,salient,0.578078622786
0,no_label,500,non_salient,1.67961646419
0,no_label,550,label,0.053288893866
0,no_label,550,salient,0.569484101862
0,no_label,550,non_salient,1.64418936016
0,no_label,600,label,0.0437741998646
0,no_label,600,salient,0.577340666437
0,no_label,600,non_salient,1.67296205942
0,no_label,650,label,0.0441436047113
0,no_label,650,salient,0.581522975107
0,no_label,650,non_salient,1.67033976298
0,no_label,700,label,0.0404020310384
0,no_label,700,salient,0.570994330372
0,no_label,700,non_salient,1.63088160262
0,no_label,750,label,0.0376897018256
0,no_label,750,salient,0.555171210229
0,no_label,750,non_salient,1.63505808687
0,no_label,800,label,0.0406148559386
0,no_label,800,salient,0.547462392357
0,no_label,800,non_salient,1.66238020309
0,no_label,850,label,0.0340182264946
0,no_label,850,salient,0.549974761406
0,no_label,850,non_salient,1.62864210833
0,no_label,900,label,0.0276364515462
0,no_label,900,salient,0.557689249953
0,no_label,900,non_salient,1.67622420018
0,no_label,950,label,0.0364038501502
0,no_label,950,salient,0.549517015269
0,no_label,950,non_salient,1.67756682108
0,no_label,1000,label,0.0329748726388
0,no_label,1000,salient,0.523467587016
0,no_label,1000,non_salient,1.64465535225
0,no_label,1050,label,0.0317147780422
0,no_label,1050,salient,0.497728958063
0,no_label,1050,non_salient,1.68845336532
0,no_label,1100,label,0.0348403160287
0,no_label,1100,salient,0.486428533414
0,no_label,1100,non_salient,1.66041110349
0,no_label,1150,label,0.0328727099575
0,no_label,1150,salient,0.529594019721
0,no_label,1150,non_salient,1.64688537726
0,no_label,1200,label,0.0407680925109
0,no_label,1200,salient,0.566677430564
0,no_label,1200,non_salient,1.64772277304
0,no_label,1250,label,0.0411036006283
0,no_label,1250,salient,0.535786226814
0,no_label,1250,non_salient,1.58555853227
0,no_label,1300,label,0.0332469586802
0,no_label,1300,salient,0.52457573727
0,no_label,1300,non_salient,1.62773636257
0,no_label,1350,label,0.0432284693492
0,no_label,1350,salient,0.632946491838
0,no_label,1350,non_salient,1.73074692692
0,no_label,1400,label,0.0434336371443
0,no_label,1400,salient,0.65729095936
0,no_label,1400,non_salient,1.5776889717
0,no_label,1450,label,0.0362751211372
0,no_label,1450,salient,0.615520268518
0,no_label,1450,non_salient,1.50393537883
0,no_label,1500,label,0.0323943659965
0,no_label,1500,salient,0.613519973297
0,no_label,1500,non_salient,1.5523681464
0,no_label,1550,label,0.0318371957573
0,no_label,1550,salient,0.642021108775
0,no_label,1550,non_salient,1.63951724961
0,no_label,1600,label,0.0346031261354
0,no_label,1600,salient,0.70569828602
0,no_label,1600,non_salient,1.69379823021
0,no_label,1650,label,0.0403896381149
0,no_label,1650,salient,0.70653707474
0,no_label,1650,non_salient,1.69971525884
0,no_label,1700,label,0.0384012451731
0,no_label,1700,salient,0.658957267394
0,no_label,1700,non_salient,1.55997330709
0,no_label,1750,label,0.0282798818437
0,no_label,1750,salient,0.612188296017
0,no_label,1750,non_salient,1.5888746543
0,no_label,1800,label,0.0170355624973
0,no_label,1800,salient,0.628270384506
0,no_label,1800,non_salient,1.66329686499
0,no_label,1850,label,0.016827872835
0,no_label,1850,salient,0.632125238201
0,no_label,1850,non_salient,1.49759126424
0,no_label,1900,label,0.0171476447562
0,no_label,1900,salient,0.55255895871
0,no_label,1900,non_salient,1.42331267262
0,no_label,1950,label,0.0184333707444
0,no_label,1950,salient,0.645686883084
0,no_label,1950,non_salient,1.77234030188
0,no_label,2000,label,0.0170456617793
0,no_label,2000,salient,0.786579787267
0,no_label,2000,non_salient,1.88115649073
0,no_label,2050,label,0.014519934889
0,no_label,2050,salient,0.735523874329
0,no_label,2050,non_salient,1.53851854
0,no_label,2100,label,0.0119754249794
0,no_label,2100,salient,0.64445925952
0,no_label,2100,non_salient,1.33147082094
0,no_label,2150,label,0.0122881937634
0,no_label,2150,salient,0.617143820459
0,no_label,2150,non_salient,1.58773765759
0,no_label,2200,label,0.0184801796066
0,no_label,2200,salient,0.699665666238
0,no_label,2200,non_salient,1.99259297755
0,no_label,2250,label,0.0161814348572
0,no_label,2250,salient,0.650982102804
0,no_label,2250,non_salient,1.54104458654
0,no_label,2300,label,0.011414651803
0,no_label,2300,salient,0.557287715057
0,no_label,2300,non_salient,1.24007089441
0,no_label,2350,label,0.00885950698765
0,no_label,2350,salient,0.567988562749
0,no_label,2350,non_salient,1.41719214265
0,no_label,2400,label,0.0064139503722
0,no_label,2400,salient,0.722196353918
0,no_label,2400,non_salient,1.74961349113
0,no_label,2450,label,0.0060910777854
0,no_label,2450,salient,0.731799478715
0,no_label,2450,non_salient,1.64955568083
0,no_label,2500,label,0.00768642348009
0,no_label,2500,salient,0.670503784155
0,no_label,2500,non_salient,1.60637780456
0,no_label,2550,label,0.0145422929773
0,no_label,2550,salient,0.680384882353
0,no_label,2550,non_salient,1.51108122486
0,no_label,2600,label,0.0249976278314
0,no_label,2600,salient,0.713973472378
0,no_label,2600,non_salient,1.24323538844
0,no_label,2650,label,0.023095737768
0,no_label,2650,salient,0.665950510865
0,no_label,2650,non_salient,0.982576877607
0,no_label,2700,label,0.014283236641
0,no_label,2700,salient,0.619725575846
0,no_label,2700,non_salient,1.03642850192
0,no_label,2750,label,0.0106744741482
0,no_label,2750,salient,0.720580282159
0,no_label,2750,non_salient,2.53636946433
0,no_label,2800,label,0.00716524675363
0,no_label,2800,salient,0.725098320196
0,no_label,2800,non_salient,1.82497264564
0,no_label,2850,label,0.00621307725257
0,no_label,2850,salient,0.660538590144
0,no_label,2850,non_salient,1.44216314614
0,no_label,2900,label,0.00614492876281
0,no_label,2900,salient,0.619627357977
0,no_label,2900,non_salient,1.13051913183
0,no_label,2950,label,0.00504365575545
0,no_label,2950,salient,0.564188703827
0,no_label,2950,non_salient,0.929907581072
0,no_label,3000,label,0.00491399799977
0,no_label,3000,salient,0.538680589868
0,no_label,3000,non_salient,0.936732054171
0,no_label,3050,label,0.00558053081182
0,no_label,3050,salient,0.656280929395
0,no_label,3050,non_salient,1.59767041403
0,no_label,3100,label,0.00398324811585
0,no_label,3100,salient,0.684851947729
0,no_label,3100,non_salient,1.48335492646
0,no_label,3150,label,0.00317794613829
0,no_label,3150,salient,0.717512119456
0,no_label,3150,non_salient,1.63281174338
0,no_label,3200,label,0.00336789286318
0,no_label,3200,salient,0.797112503108
0,no_label,3200,non_salient,1.67913502945
0,no_label,3250,label,0.00343494528456
0,no_label,3250,salient,0.836987349075
0,no_label,3250,non_salient,1.60985514728
0,no_label,3300,label,0.00293940839327
0,no_label,3300,salient,0.784844700725
0,no_label,3300,non_salient,1.57700228606
0,no_label,3350,label,0.00229039765009
0,no_label,3350,salient,0.847770755074
0,no_label,3350,non_salient,1.83247317071
0,no_label,3400,label,0.00212777207711
0,no_label,3400,salient,0.917331430543
0,no_label,3400,non_salient,1.76380140834
0,no_label,3450,label,0.00240188362891
0,no_label,3450,salient,0.793277274216
0,no_label,3450,non_salient,1.52901621418
0,no_label,3500,label,0.00305437359564
0,no_label,3500,salient,0.765266155007
0,no_label,3500,non_salient,1.36101520708
0,no_label,3550,label,0.00371128258936
0,no_label,3550,salient,0.770500895131
0,no_label,3550,non_salient,1.33966408404
0,no_label,3600,label,0.00382361929198
0,no_label,3600,salient,0.794412954026
0,no_label,3600,non_salient,1.5227911193
0,no_label,3650,label,0.00406130242548
0,no_label,3650,salient,0.825881620219
0,no_label,3650,non_salient,1.97608693941
0,no_label,3700,label,0.00283028830096
0,no_label,3700,salient,0.770492890673
0,no_label,3700,non_salient,1.78620962015
0,no_label,3750,label,0.00199362431834
0,no_label,3750,salient,0.706785374455
0,no_label,3750,non_salient,1.66754392752
0,no_label,3800,label,0.00175697324825
0,no_label,3800,salient,0.681315088066
0,no_label,3800,non_salient,1.62950266374
0,no_label,3850,label,0.00165201772752
0,no_label,3850,salient,0.678018177121
0,no_label,3850,non_salient,1.56179692061
0,no_label,3900,label,0.0014583925378
0,no_label,3900,salient,0.675114452583
0,no_label,3900,non_salient,1.37487471349
0,no_label,3950,label,0.00167412723089
0,no_label,3950,salient,0.653444303882
0,no_label,3950,non_salient,1.01329983824
0,no_label,4000,label,0.0014724762688
0,no_label,4000,salient,0.630560552303
0,no_label,4000,non_salient,0.872746569572
0,no_label,4050,label,0.00130005224655
0,no_label,4050,salient,0.610337962723
0,no_label,4050,non_salient,0.853247746631
0,no_label,4100,label,0.00120551316697
0,no_label,4100,salient,0.596610296245
0,no_label,4100,non_salient,0.868167388749
0,no_label,4150,label,0.00120264734693
0,no_label,4150,salient,0.591246986197
0,no_label,4150,non_salient,0.934142439748
0,no_label,4200,label,0.00165046685439
0,no_label,4200,salient,0.69244160529
0,no_label,4200,non_salient,1.5522386388
0,no_label,4250,label,0.00136123783124
0,no_label,4250,salient,0.723230170001
0,no_label,4250,non_salient,1.51532200772
0,no_label,4300,label,0.00105529080766
