subject,condition,block,error_type,error
0,no_label,1,label,0.70112914134
0,no_label,1,salient,2.59241712309
0,no_label,1,non_salient,2.32147863305
0,no_label,50,label,0.169449236341
0,no_label,50,salient,1.04068670041
0,no_label,50,non_salient,1.56712727802
0,no_label,100,label,0.0762675519684
0,no_label,100,salient,0.910283514804
0,no_label,100,non_salient,0.932415467791
0,no_label,150,label,0.0495479330537
0,no_label,150,salient,0.881482321866
0,no_label,150,non_salient,0.8723561681
0,no_label,200,label,0.0560101037007
0,no_label,200,salient,0.853102496117
0,no_label,200,non_salient,0.843501130436
0,no_label,250,label,0.062474762494
0,no_label,250,salient,0.819476617945
0,no_label,250,non_salient,0.810612247993
0,no_label,300,label,0.0638801237488
0,no_label,300,salient,0.785876209333
0,no_label,300,non_salient,0.778658651747
0,no_label,350,label,0.0611160660939
0,no_label,350,salient,0.756907489461
0,no_label,350,non_salient,0.752144377774
0,no_label,400,label,0.0567014478131
0,no_label,400,salient,0.73362252965
0,no_label,400,non_salient,0.731825223433
0,no_label,450,label,0.0529160615126
0,no_label,450,salient,0.714444858975
0,no_label,450,non_salient,0.715985365332
0,no_label,500,label,0.0510873560161
0,no_label,500,salient,0.697196315323
0,no_label,500,non_salient,0.702792179426
0,no_label,550,label,0.0511362364876
0,no_label,550,salient,0.680244196976
0,no_label,550,non_salient,0.691142761935
0,no_label,600,label,0.0521126674292
0,no_label,600,salient,0.662671991441
0,no_label,600,non_salient,0.680496986123
0,no_label,650,label,0.0532276297309
0,no_label,650,salient,0.644055855192
0,no_label,650,non_salient,0.670621483073
0,no_label,700,label,0.0539180262946
0,no_label,700,salient,0.624337357212
0,no_label,700,non_salient,0.661442934396
0,no_label,750,label,0.0538593386376
0,no_label,750,salient,0.60386160737
0,no_label,750,non_salient,0.652932601484
0,no_label,800,label,0.0529667361934
0,no_label,800,salient,0.58340339492
0,no_label,800,non_salient,0.645015630986
0,no_label,850,label,0.0513403918834
0,no_label,850,salient,0.564024363709
0,no_label,850,non_salient,0.637534290654
0,no_label,900,label,0.0491927984559
0,no_label,900,salient,0.546683892673
0,no_label,900,non_salient,0.630276345657
0,no_label,950,label,0.0467688276505
0,no_label,950,salient,0.531774680361
0,no_label,950,non_salient,0.62305637474
0,no_label,1000,label,0.0442701013413
0,no_label,1000,salient,0.519040936401
0,no_label,1000,non_salient,0.615791015484
0,no_label,1050,label,0.0418167801755
0,no_label,1050,salient,0.507963101456
0,no_label,1050,non_salient,0.608515249129
0,no_label,1100,label,0.039454077434
0,no_label,1100,salient,0.498111430097
0,no_label,1100,non_salient,0.601346167129
0,no_label,1150,label,0.03718070046
0,no_label,1150,salient,0.489230930369
0,no_label,1150,non_salient,0.594430298935
0,no_label,1200,label,0.0349768666544
0,no_label,1200,salient,0.481191451427
0,no_label,1200,non_salient,0.587900521017
0,no_label,1250,label,0.0328222764073
0,no_label,1250,salient,0.473925304082
0,no_label,1250,non_salient,0.581851482688
0,no_label,1300,label,0.0307035457394
0,no_label,1300,salient,0.467386844911
0,no_label,1300,non_salient,0.576332414584
0,no_label,1350,label,0.0286163616812
0,no_label,1350,salient,0.461532767123
0,no_label,1350,non_salient,0.571351962524
0,no_label,1400,label,0.0265660617227
0,no_label,1400,salient,0.456315229453
0,no_label,1400,non_salient,0.56688885872
0,no_label,1450,label,0.0245655963082
0,no_label,1450,salient,0.45168135239
0,no_label,1450,non_salient,0.562903489619
0,no_label,1500,label,0.0226313332455
0,no_label,1500,salient,0.447575158055
0,no_label,1500,non_salient,0.559347527788
0,no_label,1550,label,0.0207791203786
0,no_label,1550,salient,0.443939991531
0,no_label,1550,non_salient,0.556170682614
0,no_label,1600,label,0.0190218705251
0,no_label,1600,salient,0.440720620414
0,no_label,1600,non_salient,0.553324779814
0,no_label,1650,label,0.0173685966695
0,no_label,1650,salient,0.437864780346
0,no_label,1650,non_salient,0.55076583915
0,no_label,1700,label,0.0158243985741
0,no_label,1700,salient,0.435324173358
0,no_label,1700,non_salient,0.548454850944
0,no_label,1750,label,0.0143909456902
