subject,condition,block,stim_type,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21
0,no_label,36,B1,0.0889917396949,0.0993584768858,0.247502355317,0.630218825847,0.0551422180916,0.149296524569,0.0894931338687,0.0629162718089,0.270769228119,0.219810649004,0.502737294662,0.0637391545661,0.375833843386,0.346506061845,0.0736153446817,0.704446872144,0.353834874256,0.100710169842,0.300778260927,0.797810392924,0.141055331091,0.388610884843
0,no_label,37,B1,0.0891118891648,0.099229834997,0.252910092181,0.629329576178,0.0549859961073,0.151234805449,0.0910205102954,0.0627839524922,0.269191597679,0.220154919306,0.50726316525,0.0639627073705,0.382197253884,0.34797092844,0.0725885304125,0.702094640416,0.350834238553,0.099827149524,0.305338466398,0.80127211829,0.143413592027,0.389945331953
0,no_label,38,B1,0.0892760248289,0.0991408797287,0.258223097774,0.628592189949,0.0548640143558,0.153246199735,0.0926175400608,0.0626763613463,0.267733916754,0.220483519148,0.51194131827,0.0642176369305,0.388482174649,0.349397820185,0.0716181317527,0.700042439702,0.347935337957,0.0989187166897,0.309922472656,0.804591736312,0.145874310437,0.391349675003
0,no_label,39,B1,0.0894767662365,0.0990865069772,0.263398965912,0.628003986086,0.0547728894219,0.155316711236,0.0942815054462,0.0625913434646,0.266421867405,0.220779492388,0.516740243215,0.0645009772329,0.394629599364,0.350754834934,0.0706982108497,0.698298160028,0.34512660417,0.0979786661,0.314493020123,0.807738983994,0.148433304167,0.392812765348
0,no_label,40,B1,0.0897071898341,0.0990616624086,0.268400095059,0.627561555623,0.0547092468125,0.157431444037,0.0960088654653,0.0625267472947,0.265275746876,0.221028237596,0.521627297769,0.064809359616,0.400585912117,0.352014389032,0.0698232712285,0.696864625431,0.342396435804,0.097001458943,0.319014177266,0.810689527987,0.151086288911,0.394323418036
0,no_label,41,B1,0.0899609021912,0.0990613943867,0.273194763289,0.627260814293,0.0546697609792,0.159574944411,0.0977952811304,0.0624804519401,0.264310590432,0.221217582604,0.526569483738,0.0651390998698,0.406304259316,0.353153733849,0.0689882790067,0.695739501884,0.339733317898,0.0959823563525,0.323452148871,0.813424790752,0.153828996711,0.395870507876
0,no_label,42,B1,0.0902320892586,0.0990809130092,0.277757833554,0.627097071466,0.0546511912651,0.161731564752,0.0996356721654,0.0624503945436,0.263536484632,0.221337769055,0.53153426465,0.0654862932806,0.411745491705,0.354155217069,0.0681886666983,0.694915432097,0.337125973246,0.0949175340942,0.327775998336,0.815931607822,0.156657288566,0.397443101938
0,no_label,43,B1,0.090515542351,0.0991156500787,0.282071070982,0.627065107423,0.0546504129221,0.16388582509,0.101524302123,0.0624345961376,0.262959024485,0.221381367333,0.536490371358,0.0658469131986,0.416878648088,0.355006290734,0.0674203227117,0.694380377962,0.334563534922,0.0938041703526,0.33195824241,0.818201763925,0.159567255295,0.399030619012
0,no_label,44,B1,0.0908066632376,0.0991613151306,0.286123092014,0.627159252172,0.0546644427614,0.166022748868,0.103454886672,0.0624311845276,0.26257986523,0.221343141807,0.541408542415,0.0662169085704,0.421681000601,0.355699291694,0.0666795703757,0.694118137287,0.33203572604,0.092640500673,0.335975290352,0.82023145454,0.162555301897,0.400623001356
0,no_label,45,B1,0.0911014517514,0.0992139434254,0.289908995095,0.627373460992,0.0546904593271,0.168128153501,0.105420718184,0.0624384130912,0.26239732187,0.221219883283,0.546262152604,0.0665922960804,0.426137719799,0.356231037261,0.0659631404454,0.69410899234,0.329533031717,0.0914258368554,0.339807714271,0.822020713987,0.165618212027,0.402210881589
0,no_label,46,B1,0.0913964797343,0.0992699329456,0.293429741675,0.627701383949,0.0547258177251,0.170188882044,0.107414798854,0.0624546747611,0.262406975743,0.221010221385,0.551027694906,0.0669692430704,0.430241242525,0.356602288065,0.0652681406503,0.694330443856,0.327046849502,0.090160549554,0.343440351476,0.82357284297,0.168753190636,0.40378572821
0,no_label,47,B1,0.0916888550475,0.0993260687243,0.296691364139,0.628136428549,0.0547680594102,0.172192969185,0.109429974588,0.0624785108815,0.262602255835,0.220714425735,0.555685096264,0.0673441381919,0.433990435719,0.356817131662,0.064592025103,0.69475798474,0.324569607516,0.0888460171212,0.34686225143,0.824893859422,0.171957884226,0.405339956448
0,no_label,48,B1,0.0919761789907,0.0993795340906,0.299704075698,0.628671815983,0.0548149173586,0.174129741496,0.111459062612,0.062508615012,0.26297497185,0.220334201796,0.560217863468,0.0677136477158,0.437389646922,0.356882335863,0.0639325654823,0.69536587184,0.322094843606,0.0874845454959,0.350066488515,0.825991987936,0.175230379452,0.406866996
0,no_label,49,B1,0.0922564999422,0.0994279094941,0.302481348699,0.629300632212,0.0548643171375,0.17598985763,0.113494967171,0.0625438320835,0.263515784855,0.219872485504,0.564613069945,0.0680747564667,0.440447720807,0.356806712195,0.0632878250083,0.696127860492,0.319617243133,0.0860792654619,0.353049866999,0.826877195888,0.178569181876,0.408361312757
0,no_label,50,B1,0.0925282654877,0.0994691603775,0.305039015456,0.630015875272,0.0549143744452,0.177765298253,0.115530779398,0.0625831535424,0.264214608975,0.219333239993,0.568861205507,0.0684247933705,0.443177044479,0.356600519602,0.0626561354626,0.697017874096,0.317132636864,0.0846340143116,0.355812546623,0.827560779056,0.181973177507,0.409818386671
0,no_label,51,B1,0.0927902748069,0.0995016160726,0.307394431809,0.630810500009,0.0549633897291,0.179449317692,0.117559859266,0.0626257092681,0.26506094358,0.218721257513,0.572955918207,0.068761442507,0.445592666099,0.356274928235,0.062036076954,0.698010588909,0.314637963558,0.0831532089071,0.358357616672,0.828054996001,0.185441580338,0.411234651968
0,no_label,52,B1,0.0930416326645,0.0995239419263,0.309565730327,0.63167746099,0.0550098405026,0.181036369738,0.11957589921,0.0626707571032,0.266044139641,0.218041969694,0.576893680342,0.0690827412793,0.447711514172,0.355841554143,0.0614264598012,0.699081921804,0.312131203798,0.0816417164944,0.360690643914,0.828372748465,0.188973869337,0.412607408522
0,no_label,53,B1,0.0932817060049,0.0995351068608,0.311571178389,0.632609753834,0.0550523719726,0.182522019005,0.121572970353,0.062717670816,0.267153606594,0.21730126926,0.58067340984,0.0693870678081,0.449551730296,0.355312068626,0.0608263077812,0.700209415668,0.309611292619,0.0801047285907,0.362819216201,0.828527304183,0.192569718387,0.413934714293
